City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
476,coquimbo,-29.9533,-71.3436,13.85,88,100,3.09,CL,1697381583
477,anaconda,46.1285,-112.9423,3.55,64,79,1.99,US,1697381583
478,santa ana de yacuma,-13.75,-65.4333,32.97,46,56,2.57,BO,1697381583
479,urazovo,50.0836,38.0395,15.34,39,4,3.25,RU,1697381583
480,alofi,-19.0595,-169.9187,21.94,83,13,2.57,NU,1697381584
481,bouar,5.934,15.596,21.94,84,100,1.64,CF,1697381584
482,kourou,5.1552,-52.6478,34.03,55,100,5.08,GF,1697381584
483,okhotsk,59.3833,143.3,2.29,76,100,4.63,RU,1697381584
484,bardai,11.65,7.2333,33.88,20,99,2.21,NG,1697381584
485,rongelap,11.1635,166.8941,28.18,78,77,6.48,MH,1697381585
486,nadym,65.5333,72.5167,1.19,94,100,3.87,RU,1697381585
487,samana,19.2056,-69.3369,29.98,79,20,2.06,DO,1697381585
488,fitchburg,42.5834,-71.8023,12.18,69,96,5.66,US,1697381585
489,san antonio de pale,-1.4014,5.6325,25.97,82,86,5.63,GQ,1697381585
490,zhigalovo,54.8097,105.1578,5.6,54,100,1.34,RU,1697381585
491,prince george,53.9166,-122.753,11.69,69,100,5.14,CA,1697381586
492,realeza,-25.7689,-53.5325,22.29,87,48,1.6,BR,1697381586
493,tarko-sale,64.9225,77.785,1.67,83,100,2.24,RU,1697381586
494,general jose de san martin,-26.5374,-59.3416,30.75,43,71,2.85,AR,1697381586
495,aljezur,37.3191,-8.8033,21.08,85,84,2.93,PT,1697381586
496,shimoda,34.6667,138.95,16.72,74,0,7.7,JP,1697381586
497,west lakes,-34.8767,138.4975,15.0,83,75,7.72,AU,1697381587
498,taoudenni,22.6783,-3.9836,36.79,10,2,4.66,ML,1697381587
499,bush,29.1482,31.1273,28.64,24,0,5.16,EG,1697381587
500,sarangani,5.4033,125.4636,28.31,78,5,1.79,PH,1697381587
501,el porvenir,13.7617,-87.3458,24.63,70,71,0.58,HN,1697381587
502,zhanaozen,43.3,52.8,14.98,29,0,6.44,KZ,1697381588
503,chapeco,-27.0964,-52.6183,23.86,73,0,3.09,BR,1697381588
504,baro,8.6,6.4167,33.71,49,78,1.48,NG,1697381588
505,upata,8.0086,-62.3989,31.82,51,29,3.18,VE,1697381588
506,ellsworth,44.5434,-68.4195,12.7,81,0,3.6,US,1697381588
507,peacehaven,50.7927,-0.0065,12.77,54,22,1.79,GB,1697381588
508,puerto quijarro,-17.7833,-57.7667,41.83,22,1,2.33,BO,1697381589
509,gwadar,25.1216,62.3254,27.13,82,0,3.86,PK,1697381360
510,menaka,15.9182,2.4022,39.42,10,11,3.91,ML,1697381589
511,alexandroupoli,40.8475,25.8744,23.51,73,0,4.12,GR,1697381589
